Tiote ,Newcastle ,4.3,19,3,2.1,614,0.0309,2
Tonev ,Aston Villa ,4.3,13,3,1.6,299,0.0435,1
Townsend ,Tottenham ,6.0,35,2,3.5,844,0.0415,0
Valencia ,Man Utd ,7.1,23,3,2.6,599,0.0384,2
van Ginkel ,Chelsea ,5.4,2,0,1.0,11,0.1818,0
Vaughan ,Sunderland ,4.8,4,0,1.3,170,0.0235,0
Vuckic ,Newcastle ,4.3,0,0,0.0,0,0.0000,0
Walcott ,Arsenal ,9.1,15,0,3.8,358,0.0419,1
Walters ,Stoke City ,6.1,24,7,2.2,903,0.0266,3
Wanyama ,Southampton ,4.6,25,2,2.3,954,0.0262,1
Ward-Prowse ,Southampton ,4.2,28,2,2.5,655,0.0427,2
Westwood ,Aston Villa ,4.9,20,3,2.2,786,0.0254,9
Whelan ,Stoke City ,5.3,9,0,1.5,192,0.0469,3
Whittingham ,Cardiff City ,5.1,37,2,3.4,990,0.0374,6
Williams ,Crystal Palace ,4.3,3,0,1.0,88,0.0341,0
Willian ,Chelsea ,7.7,12,2,2.4,244,0.0492,0
Wilshere ,Arsenal ,6.1,28,0,2.8,636,0.0440,3
Yacob ,West Brom ,4.4,27,1,2.5,784,0.0344,2
Yaya Touré ,Man City ,9.6,65,2,5.9,990,0.0657,5
Young ,Man Utd ,7.2,8,0,2.0,202,0.0396,0
Zaha ,Man Utd ,5.5,0,0,0.0,0,0.0000,0
Zelalem ,Arsenal ,5.0,0,0,0.0,0,0.0000,0
